;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g009550.v5.5;546;5;32;17;2;45;21,33333333;194,3333333;281,5;3,5;38,5
Cre01.g009575.v5.5;19;4;5;2;1;12;5;9,333333333;10,5;2,5;8,5
Cre01.g009601.v5.5;13;0;0;0;0;1;0,333333333;4,333333333;6,5;0;0,5
Cre01.g009650.v5.5;123;1;4;3;2;9;4,666666667;42,66666667;63;1,5;6,5
Cre01.g009676.v5.5;60;1;16;11;8;42;20,33333333;25,66666667;35,5;4,5;29
Cre01.g009700.v5.5;77;33;43;64;58;73;65;51;70,5;45,5;58
Cre01.g009731.v5.5;23;0;5;0;3;23;8,666666667;9,333333333;11,5;1,5;14
Cre01.g009765.v5.5;16;3;4;11;1;7;6,333333333;7,666666667;13,5;2;5,5
Cre01.g009800.v5.5;1909;333;150;331;189;401;307;797,3333333;1120;261;275,5
Cre01.g009850.v5.5;879;607;335;406;277;544;409;607;642,5;442;439,5
Cre01.g009900.v5.5;284;760;671;419;301;369;363;571,6666667;351,5;530,5;520
Cre01.g009950.v5.5;194;68;120;120;35;53;69,33333333;127,3333333;157;51,5;86,5
Cre01.g010000.v5.5;347;99;122;79;74;109;87,33333333;189,3333333;213;86,5;115,5
Cre01.g010050.v5.5;158;69;96;326;229;352;302,3333333;107,6666667;242;149;224
Cre01.g010100.v5.5;53;6;12;12;6;13;10,33333333;23,66666667;32,5;6;12,5
Cre01.g010150.v5.5;67;5;10;9;2;11;7,333333333;27,33333333;38;3,5;10,5
Cre01.g010201.v5.5;98;15;39;73;38;197;102,6666667;50,66666667;85,5;26,5;118
Cre01.g010250.v5.5;194;92;160;40;72;139;83,66666667;148,6666667;117;82;149,5
Cre01.g010296.v5.5;5;0;0;6;5;1;4;1,666666667;5,5;2,5;0,5
Cre01.g010300.v5.5;27;1;7;12;10;9;10,33333333;11,66666667;19,5;5,5;8
Cre01.g010350.v5.5;85;55;65;59;34;80;57,66666667;68,33333333;72;44,5;72,5
Cre01.g010400.v5.5;5364;929;1637;5469;3651;3295;4138,333333;2643,333333;5416,5;2290;2466
Cre01.g010450.v5.5;121;20;27;12;9;37;19,33333333;56;66,5;14,5;32
Cre01.g010500.v5.5;87;49;28;37;21;16;24,66666667;54,66666667;62;35;22
Cre01.g010550.v5.5;51;24;32;13;19;18;16,66666667;35,66666667;32;21,5;25
Cre01.g010650.v5.5;35;11;17;12;15;8;11,66666667;21;23,5;13;12,5
Cre01.g010700.v5.5;301;59;129;66;41;94;67;163;183,5;50;111,5
Cre01.g010750.v5.5;467;203;366;265;175;386;275,3333333;345,3333333;366;189;376
Cre01.g010800.v5.5;91;12;54;40;22;45;35,66666667;52,33333333;65,5;17;49,5
Cre01.g010816.v5.5;19;0;3;5;12;4;7;7,333333333;12;6;3,5
Cre01.g010832.v5.5;162;10;7;35;23;94;50,66666667;59,66666667;98,5;16,5;50,5
Cre01.g010848.v5.5;52;12;9;4;0;0;1,333333333;24,33333333;28;6;4,5
Cre01.g010864.v5.5;10;5;1;6;7;0;4,333333333;5,333333333;8;6;0,5
Cre01.g010880.v5.5;101;18;24;20;11;13;14,66666667;47,66666667;60,5;14,5;18,5
Cre01.g010900.v5.5;5312;14634;11559;7445;5317;3416;5392,666667;10501,66667;6378,5;9975,5;7487,5
Cre01.g010950.v5.5;167;73;93;86;63;77;75,33333333;111;126,5;68;85
Cre01.g011000.v5.5;36417;32596;48420;40092;26172;29819;32027,66667;39144,33333;38254,5;29384;39119,5
Cre01.g011050.v5.5;278;90;116;174;129;218;173,6666667;161,3333333;226;109,5;167
Cre01.g011100.v5.5;133;19;31;60;20;60;46,66666667;61;96,5;19,5;45,5
Cre01.g011150.v5.5;430;71;168;67;12;58;45,66666667;223;248,5;41,5;113
Cre01.g011200.v5.5;27;14;13;16;4;15;11,66666667;18;21,5;9;14
Cre01.g011250.v5.5;3;0;0;2;0;1;1;1;2,5;0;0,5
Cre01.g011300.v5.5;132;25;28;11;12;20;14,33333333;61,66666667;71,5;18,5;24
Cre01.g011350.v5.5;30;2;3;6;3;12;7;11,66666667;18;2,5;7,5
Cre01.g011376.v5.5;2;0;0;2;1;0;1;0,666666667;2;0,5;0
Cre01.g011400.v5.5;43;32;44;81;78;88;82,33333333;39,66666667;62;55;66
Cre01.g011450.v5.5;768;219;254;498;280;354;377,3333333;413,6666667;633;249,5;304
Cre01.g011500.v5.5;368;229;349;279;227;499;335;315,3333333;323,5;228;424
Cre01.g011550.v5.5;54;25;34;79;37;56;57,33333333;37,66666667;66,5;31;45
Cre01.g011600.v5.5;942;444;895;911;555;778;748;760,3333333;926,5;499,5;836,5
Cre01.g011630.v5.5;1;0;0;10;5;19;11,33333333;0,333333333;5,5;2,5;9,5
Cre01.g011660.v5.5;0;0;0;1;0;1;0,666666667;0;0,5;0;0,5
Cre01.g011750.v5.5;37;9;19;30;26;45;33,66666667;21,66666667;33,5;17,5;32
Cre01.g011800.v5.5;72;45;39;48;8;33;29,66666667;52;60;26,5;36
Cre01.g011850.v5.5;241;92;158;178;103;156;145,6666667;163,6666667;209,5;97,5;157
Cre01.g011901.v5.5;43;4;10;57;26;78;53,66666667;19;50;15;44
Cre01.g011950.v5.5;95;40;67;96;83;175;118;67,33333333;95,5;61,5;121
Cre01.g012000.v5.5;71;29;44;44;53;32;43;48;57,5;41;38
Cre01.g012050.v5.5;303;57;407;60;20;100;60;255,6666667;181,5;38,5;253,5
Cre01.g012100.v5.5;42;0;1;0;0;0;0;14,33333333;21;0;0,5
Cre01.g012126.v5.5;144;2;8;4;1;2;2,333333333;51,33333333;74;1,5;5
Cre01.g012150.v5.5;323;309;254;227;121;180;176;295,3333333;275;215;217
Cre01.g012175.v5.5;74;10;16;3;3;22;9,333333333;33,33333333;38,5;6,5;19
