;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g012900.v5.5;87;21;32;17;16;14;15,66666667;46,66666667;52;18,5;23
Cre01.g012950.v5.5;188;52;109;134;68;213;138,3333333;116,3333333;161;60;161
Cre01.g013000.v5.5;26;29;62;16;29;33;26;39;21;29;47,5
Cre01.g013050.v5.5;175;124;175;70;67;97;78;158;122,5;95,5;136
Cre01.g013100.v5.5;13;1;1;90;26;78;64,66666667;5;51,5;13,5;39,5
Cre01.g013150.v5.5;233;143;185;163;128;128;139,6666667;187;198;135,5;156,5
Cre01.g013200.v5.5;235;39;70;21;21;31;24,33333333;114,6666667;128;30;50,5
Cre01.g013250.v5.5;75;14;39;24;10;11;15;42,66666667;49,5;12;25
Cre01.g013300.v5.5;257;121;208;160;93;100;117,6666667;195,3333333;208,5;107;154
Cre01.g013350.v5.5;1292;998;1055;428;427;378;411;1115;860;712,5;716,5
Cre01.g013400.v5.5;156;57;50;40;25;56;40,33333333;87,66666667;98;41;53
Cre01.g013450.v5.5;104;1;12;24;10;133;55,66666667;39;64;5,5;72,5
Cre01.g013500.v5.5;889;244;500;569;487;769;608,3333333;544,3333333;729;365,5;634,5
Cre01.g013550.v5.5;100;27;56;87;57;91;78,33333333;61;93,5;42;73,5
Cre01.g013600.v5.5;777;373;706;611;369;573;517,6666667;618,6666667;694;371;639,5
Cre01.g013650.v5.5;84;33;17;24;15;14;17,66666667;44,66666667;54;24;15,5
Cre01.g013700.v5.5;240;1064;718;373;224;177;258;674;306,5;644;447,5
Cre01.g013750.v5.5;48;1;11;14;5;14;11;20;31;3;12,5
Cre01.g013769.v5.5;20;0;0;7;6;9;7,333333333;6,666666667;13,5;3;4,5
Cre01.g013800.v5.5;31;12;22;18;15;21;18;21,66666667;24,5;13,5;21,5
Cre01.g013801.v5.5;136;78;146;147;86;163;132;120;141,5;82;154,5
Cre01.g013850.v5.5;53;40;44;64;68;67;66,33333333;45,66666667;58,5;54;55,5
Cre01.g013900.v5.5;322;98;196;49;38;79;55,33333333;205,3333333;185,5;68;137,5
Cre01.g014000.v5.5;445;125;134;111;31;77;73;234,6666667;278;78;105,5
Cre01.g014050.v5.5;312;112;230;274;109;293;225,3333333;218;293;110,5;261,5
Cre01.g014100.v5.5;9;2;24;35;12;35;27,33333333;11,66666667;22;7;29,5
Cre01.g014150.v5.5;58;24;23;39;27;48;38;35;48,5;25,5;35,5
Cre01.g014200.v5.5;1;0;0;1;0;1;0,666666667;0,333333333;1;0;0,5
Cre01.g014250.v5.5;152;289;229;56;71;52;59,66666667;223,3333333;104;180;140,5
Cre01.g014300.v5.5;45;84;117;85;40;50;58,33333333;82;65;62;83,5
Cre01.g014350.v5.5;298;267;369;280;267;390;312,3333333;311,3333333;289;267;379,5
Cre01.g014400.v5.5;410;160;373;112;69;124;101,6666667;314,3333333;261;114,5;248,5
Cre01.g014450.v5.5;359;242;326;448;230;297;325;309;403,5;236;311,5
Cre01.g014500.v5.5;297;132;247;227;157;270;218;225,3333333;262;144,5;258,5
Cre01.g014600.v5.5;126;40;60;64;36;34;44,66666667;75,33333333;95;38;47
Cre01.g014650.v5.5;250;25;39;33;17;27;25,66666667;104,6666667;141,5;21;33
Cre01.g014700.v5.5;274;109;150;118;60;48;75,33333333;177,6666667;196;84,5;99
Cre01.g014751.v5.5;0;1;1;0;0;1;0,333333333;0,666666667;0;0,5;1
Cre01.g014800.v5.5;93;51;156;101;67;133;100,3333333;100;97;59;144,5
Cre01.g014850.v5.5;57;49;60;49;60;93;67,33333333;55,33333333;53;54,5;76,5
Cre01.g014900.v5.5;87;69;116;51;34;90;58,33333333;90,66666667;69;51,5;103
Cre01.g014950.v5.5;177;112;197;182;126;203;170,3333333;162;179,5;119;200
Cre01.g015000.v5.5;1164;733;1056;230;159;176;188,3333333;984,3333333;697;446;616
Cre01.g015050.v5.5;124;32;73;68;51;42;53,66666667;76,33333333;96;41,5;57,5
Cre01.g015100.v5.5;10;10;14;6;6;13;8,333333333;11,33333333;8;8;13,5
Cre01.g015103.v5.5;427;121;139;169;128;76;124,3333333;229;298;124,5;107,5
Cre01.g015150.v5.5;82;24;54;41;33;54;42,66666667;53,33333333;61,5;28,5;54
Cre01.g015200.v5.5;130;82;144;55;39;107;67;118,6666667;92,5;60,5;125,5
Cre01.g015250.v5.5;229;71;82;87;56;74;72,33333333;127,3333333;158;63,5;78
Cre01.g015300.v5.5;25;34;54;54;21;37;37,33333333;37,66666667;39,5;27,5;45,5
Cre01.g015350.v5.5;2764;2689;2639;1036;1108;1125;1089,666667;2697,333333;1900;1898,5;1882
Cre01.g015400.v5.5;368;345;473;576;286;597;486,3333333;395,3333333;472;315,5;535
Cre01.g015451.v5.5;23;5;6;20;33;18;23,66666667;11,33333333;21,5;19;12
Cre01.g015500.v5.5;3847;581;1542;1078;435;1171;894,6666667;1990;2462,5;508;1356,5
Cre01.g015550.v5.5;18;15;31;15;20;23;19,33333333;21,33333333;16,5;17,5;27
Cre01.g015600.v5.5;633;196;403;488;288;488;421,3333333;410,6666667;560,5;242;445,5
Cre01.g015650.v5.5;148;41;75;119;82;96;99;88;133,5;61,5;85,5
Cre01.g015700.v5.5;27;14;21;4;9;5;6;20,66666667;15,5;11,5;13
Cre01.g015750.v5.5;173;167;179;79;49;56;61,33333333;173;126;108;117,5
Cre01.g015850.v5.5;638;780;412;811;575;906;764;610;724,5;677,5;659
Cre01.g015950.v5.5;359;311;422;353;254;352;319,6666667;364;356;282,5;387
Cre01.g016001.v5.5;16;16;5;24;7;8;13;12,33333333;20;11,5;6,5
Cre01.g016050.v5.5;1899;888;1438;1351;890;1271;1170,666667;1408,333333;1625;889;1354,5
Cre01.g016100.v5.5;1;0;1;1;0;1;0,666666667;0,666666667;1;0;1
Cre01.g016150.v5.5;76;38;53;24;9;26;19,66666667;55,66666667;50;23,5;39,5
Cre01.g016200.v5.5;263;33;38;33;28;81;47,33333333;111,3333333;148;30,5;59,5
Cre01.g016250.v5.5;51;5;5;8;0;8;5,333333333;20,33333333;29,5;2,5;6,5
Cre01.g016300.v5.5;659;538;506;160;143;374;225,6666667;567,6666667;409,5;340,5;440
Cre01.g016350.v5.5;401;62;66;702;463;842;669;176,3333333;551,5;262,5;454
Cre01.g016400.v5.5;136;94;397;256;189;276;240,3333333;209;196;141,5;336,5
Cre01.g016450.v5.5;30;2;3;1;0;3;1,333333333;11,66666667;15,5;1;3
Cre01.g016500.v5.5;187;156;141;97;111;89;99;161,3333333;142;133,5;115
Cre01.g016514.v5.5;177;145;106;42;30;16;29,33333333;142,6666667;109,5;87,5;61
Cre01.g016528.v5.5;116;86;64;92;22;35;49,66666667;88,66666667;104;54;49,5
Cre01.g016542.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g016556.v5.5;526;211;372;194;116;148;152,6666667;369,6666667;360;163,5;260
Cre01.g016570.v5.5;177;29;37;38;30;63;43,66666667;81;107,5;29,5;50
Cre01.g016600.v5.5;0;6;5;23;15;135;57,66666667;3,666666667;11,5;10,5;70
Cre01.g016651.v5.5;3;4;3;4;1;6;3,666666667;3,333333333;3,5;2,5;4,5
Cre01.g016700.v5.5;240;148;231;177;128;223;176;206,3333333;208,5;138;227
Cre01.g016750.v5.5;1;1;0;0;0;7;2,333333333;0,666666667;0,5;0,5;3,5
Cre01.g016800.v5.5;274;4;9;7;19;30;18,66666667;95,66666667;140,5;11,5;19,5
Cre01.g016850.v5.5;505;93;249;181;83;258;174;282,3333333;343;88;253,5
Cre01.g016900.v5.5;106;158;83;82;51;60;64,33333333;115,6666667;94;104,5;71,5
Cre01.g016950.v5.5;151;46;88;51;33;63;49;95;101;39,5;75,5
Cre01.g017050.v5.5;125;63;83;30;20;80;43,33333333;90,33333333;77,5;41,5;81,5
Cre01.g017100.v5.5;35;28;21;23;5;10;12,66666667;28;29;16,5;15,5
Cre01.g017150.v5.5;36;0;0;0;0;0;0;12;18;0;0
Cre01.g017200.v5.5;73;33;32;13;22;16;17;46;43;27,5;24
Cre01.g017250.v5.5;53;34;50;60;25;85;56,66666667;45,66666667;56,5;29,5;67,5
Cre01.g017300.v5.5;1622;886;1447;1701;967;1215;1294,333333;1318,333333;1661,5;926,5;1331
Cre01.g017350.v5.5;9;8;10;14;1;13;9,333333333;9;11,5;4,5;11,5
Cre01.g017400.v5.5;99;34;72;33;8;31;24;68,33333333;66;21;51,5
Cre01.g017450.v5.5;20;1;0;0;0;4;1,333333333;7;10;0,5;2
Cre01.g017500.v5.5;188;71;157;134;40;164;112,6666667;138,6666667;161;55,5;160,5
Cre01.g017550.v5.5;19;7;49;32;30;30;30,66666667;25;25,5;18,5;39,5
Cre01.g017600.v5.5;247;296;358;220;193;328;247;300,3333333;233,5;244,5;343
Cre01.g017650.v5.5;308;316;177;346;199;327;290,6666667;267;327;257,5;252
Cre01.g017701.v5.5;0;2;3;12;5;13;10;1,666666667;6;3,5;8
Cre01.g017750.v5.5;50;6;11;2;2;5;3;22,33333333;26;4;8
Cre01.g017850.v5.5;99;0;0;0;0;0;0;33;49,5;0;0
Cre01.g017900.v5.5;66;26;78;42;21;75;46;56,66666667;54;23,5;76,5
Cre01.g017951.v5.5;32;5;24;15;8;6;9,666666667;20,33333333;23,5;6,5;15
Cre01.g018000.v5.5;126;13;64;73;42;44;53;67,66666667;99,5;27,5;54
Cre01.g018050.v5.5;100;32;66;47;44;92;61;66;73,5;38;79
Cre01.g018075.v5.5;122;161;57;119;64;101;94,66666667;113,3333333;120,5;112,5;79
Cre01.g018100.v5.5;149;140;127;141;138;164;147,6666667;138,6666667;145;139;145,5
Cre01.g018150.v5.5;260;243;328;599;354;526;493;277;429,5;298,5;427
Cre01.g018184.v5.5;7;4;2;3;0;4;2,333333333;4,333333333;5;2;3
Cre01.g018200.v5.5;512;192;381;211;228;238;225,6666667;361,6666667;361,5;210;309,5
Cre01.g018350.v5.5;858;544;759;1131;620;1240;997;720,3333333;994,5;582;999,5
Cre01.g018400.v5.5;487;284;506;452;261;598;437;425,6666667;469,5;272,5;552
Cre01.g018450.v5.5;72;48;49;48;39;44;43,66666667;56,33333333;60;43,5;46,5
Cre01.g018500.v5.5;32;16;45;13;3;10;8,666666667;31;22,5;9,5;27,5
Cre01.g018550.v5.5;384;38;100;164;70;111;115;174;274;54;105,5
Cre01.g018600.v5.5;497;232;495;254;179;429;287,3333333;408;375,5;205,5;462
Cre01.g018650.v5.5;2260;756;1297;921;455;556;644;1437,666667;1590,5;605,5;926,5
Cre01.g018700.v5.5;85;49;37;115;86;114;105;57;100;67,5;75,5
Cre01.g018750.v5.5;172;77;54;171;99;101;123,6666667;101;171,5;88;77,5
Cre01.g018800.v5.5;2558;1044;1495;1056;824;920;933,3333333;1699;1807;934;1207,5
Cre01.g018850.v5.5;87;13;33;24;32;59;38,33333333;44,33333333;55,5;22,5;46
Cre01.g018900.v5.5;213;48;64;93;66;176;111,6666667;108,3333333;153;57;120
Cre01.g018950.v5.5;360;145;487;481;256;356;364,3333333;330,6666667;420,5;200,5;421,5
Cre01.g019000.v5.5;73;41;56;57;51;81;63;56,66666667;65;46;68,5
Cre01.g019051.v5.5;13;2;7;14;6;12;10,66666667;7,333333333;13,5;4;9,5
Cre01.g019100.v5.5;29;21;71;2;9;5;5,333333333;40,33333333;15,5;15;38
Cre01.g019150.v5.5;71;76;93;41;34;80;51,66666667;80;56;55;86,5
Cre01.g019200.v5.5;143;21;166;144;33;97;91,33333333;110;143,5;27;131,5
Cre01.g019250.v5.5;387;259;174;156;118;109;127,6666667;273,3333333;271,5;188,5;141,5
Cre01.g019300.v5.5;236;92;104;241;161;150;184;144;238,5;126,5;127
Cre01.g019400.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g019450.v5.5;47;12;7;13;7;15;11,66666667;22;30;9,5;11
Cre01.g019500.v5.5;50;19;58;42;29;65;45,33333333;42,33333333;46;24;61,5
Cre01.g019550.v5.5;135;34;169;123;41;263;142,3333333;112,6666667;129;37,5;216
Cre01.g019600.v5.5;435;276;272;291;304;371;322;327,6666667;363;290;321,5
Cre01.g019650.v5.5;130;37;46;78;69;20;55,66666667;71;104;53;33
Cre01.g019700.v5.5;111;38;56;47;42;51;46,66666667;68,33333333;79;40;53,5
Cre01.g019750.v5.5;241;86;118;55;54;89;66;148,3333333;148;70;103,5
Cre01.g019850.v5.5;230;87;120;172;112;165;149,6666667;145,6666667;201;99,5;142,5
Cre01.g019900.v5.5;109;123;41;121;77;80;92,66666667;91;115;100;60,5
Cre01.g019950.v5.5;46;32;28;37;38;77;50,66666667;35,33333333;41,5;35;52,5
Cre01.g020000.v5.5;21;9;2;11;20;22;17,66666667;10,66666667;16;14,5;12
Cre01.g020050.v5.5;10;2;1;7;19;6;10,66666667;4,333333333;8,5;10,5;3,5
Cre01.g020100.v5.5;2;1;3;9;5;11;8,333333333;2;5,5;3;7
Cre01.g020141.v5.5;319;241;497;498;450;510;486;352,3333333;408,5;345,5;503,5
Cre01.g020182.v5.5;135;39;80;93;34;57;61,33333333;84,66666667;114;36,5;68,5
Cre01.g020223.v5.5;103;86;258;82;46;148;92;149;92,5;66;203
Cre01.g020264.v5.5;61;72;95;48;49;115;70,66666667;76;54,5;60,5;105
Cre01.g020305.v5.5;570;336;459;273;244;278;265;455;421,5;290;368,5
Cre01.g020350.v5.5;1037;754;1064;690;557;742;663;951,6666667;863,5;655,5;903
Cre01.g020400.v5.5;131;41;76;67;53;86;68,66666667;82,66666667;99;47;81
Cre01.g020450.v5.5;0;0;0;4;3;1;2,666666667;0;2;1,5;0,5
Cre01.g020500.v5.5;1;0;0;0;0;0;0;0,333333333;0,5;0;0
Cre01.g020575.v5.5;11;11;6;18;7;14;13;9,333333333;14,5;9;10
Cre01.g020650.v5.5;103;154;99;138;117;266;173,6666667;118,6666667;120,5;135,5;182,5
Cre01.g020701.v5.5;82;141;297;96;64;128;96;173,3333333;89;102,5;212,5
Cre01.g020750.v5.5;220;131;245;125;87;190;134;198,6666667;172,5;109;217,5
Cre01.g020751.v5.5;0;1;0;1;1;9;3,666666667;0,333333333;0,5;1;4,5
Cre01.g020800.v5.5;947;917;580;981;718;1311;1003,333333;814,6666667;964;817,5;945,5
Cre01.g020850.v5.5;252;62;114;277;76;217;190;142,6666667;264,5;69;165,5
Cre01.g020887.v5.5;22;30;26;75;51;43;56,33333333;26;48,5;40,5;34,5
Cre01.g020918.v5.5;713;512;767;395;360;493;416;664;554;436;630
Cre01.g020950.v5.5;518;206;676;909;417;1002;776;466,6666667;713,5;311,5;839
Cre01.g021000.v5.5;18;23;10;10;10;20;13,33333333;17;14;16,5;15
Cre01.g021050.v5.5;63;46;88;81;59;101;80,33333333;65,66666667;72;52,5;94,5
Cre01.g021100.v5.5;59;26;50;45;36;34;38,33333333;45;52;31;42
Cre01.g021150.v5.5;200;103;235;253;154;321;242,6666667;179,3333333;226,5;128,5;278
Cre01.g021200.v5.5;24;17;52;33;19;96;49,33333333;31;28,5;18;74
Cre01.g021251.v5.5;650;446;632;216;109;168;164,3333333;576;433;277,5;400
Cre01.g021300.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g021350.v5.5;60;151;125;133;97;55;95;112;96,5;124;90
Cre01.g021400.v5.5;88;38;60;72;48;87;69;62;80;43;73,5
Cre01.g021450.v5.5;124;66;100;98;69;149;105,3333333;96,66666667;111;67,5;124,5
Cre01.g021500.v5.5;779;295;288;231;100;255;195,3333333;454;505;197,5;271,5
Cre01.g021550.v5.5;122;61;108;96;101;66;87,66666667;97;109;81;87
Cre01.g021600.v5.5;1247;529;1257;1176;740;1694;1203,333333;1011;1211,5;634,5;1475,5
Cre01.g021650.v5.5;228;173;245;128;95;115;112,6666667;215,3333333;178;134;180
Cre01.g021700.v5.5;2002;897;1251;1359;898;1947;1401,333333;1383,333333;1680,5;897,5;1599
Cre01.g021750.v5.5;56;21;41;69;38;92;66,33333333;39,33333333;62,5;29,5;66,5
Cre01.g021800.v5.5;0;0;7;2;0;0;0,666666667;2,333333333;1;0;3,5
Cre01.g021850.v5.5;100;59;105;118;91;81;96,66666667;88;109;75;93
Cre01.g021900.v5.5;5;13;25;4;10;7;7;14,33333333;4,5;11,5;16
Cre01.g021950.v5.5;128;26;79;91;56;85;77,33333333;77,66666667;109,5;41;82
Cre01.g022000.v5.5;15;1;3;2;2;1;1,666666667;6,333333333;8,5;1,5;2
Cre01.g022050.v5.5;0;0;0;0;1;0;0,333333333;0;0;0,5;0
Cre01.g022100.v5.5;155;131;186;159;156;330;215;157,3333333;157;143,5;258
Cre01.g022150.v5.5;344;186;105;159;83;145;129;211,6666667;251,5;134,5;125
Cre01.g022200.v5.5;432;87;176;226;234;373;277,6666667;231,6666667;329;160,5;274,5
Cre01.g022250.v5.5;66;35;60;25;23;31;26,33333333;53,66666667;45,5;29;45,5
Cre01.g022283.v5.5;15;9;30;25;6;21;17,33333333;18;20;7,5;25,5
Cre01.g022350.v5.5;156;71;228;276;153;293;240,6666667;151,6666667;216;112;260,5
Cre01.g022400.v5.5;10;15;41;22;24;20;22;22;16;19,5;30,5
Cre01.g022450.v5.5;22;15;12;9;5;4;6;16,33333333;15,5;10;8
Cre01.g022462.v5.5;68;55;72;62;54;36;50,66666667;65;65;54,5;54
Cre01.g022500.v5.5;41;60;53;28;20;17;21,66666667;51,33333333;34,5;40;35
Cre01.g022550.v5.5;150;19;33;34;15;36;28,33333333;67,33333333;92;17;34,5
Cre01.g022600.v5.5;140;121;137;103;99;144;115,3333333;132,6666667;121,5;110;140,5
Cre01.g022650.v5.5;68;185;226;98;38;59;65;159,6666667;83;111,5;142,5
Cre01.g022666.v5.5;135;38;47;41;59;75;58,33333333;73,33333333;88;48,5;61
Cre01.g022681.v5.5;104;58;52;64;47;197;102,6666667;71,33333333;84;52,5;124,5
Cre01.g022700.v5.5;14;13;45;36;56;50;47,33333333;24;25;34,5;47,5
Cre01.g022750.v5.5;635;398;267;323;186;311;273,3333333;433,3333333;479;292;289
Cre01.g022800.v5.5;28;3;3;2;5;0;2,333333333;11,33333333;15;4;1,5
Cre01.g022850.v5.5;29;1;0;4;1;0;1,666666667;10;16,5;1;0
Cre01.g022900.v5.5;29;4;1;4;2;5;3,666666667;11,33333333;16,5;3;3
Cre01.g022950.v5.5;24;1;6;15;8;8;10,33333333;10,33333333;19,5;4,5;7
Cre01.g023000.v5.5;29;4;12;8;8;3;6,333333333;15;18,5;6;7,5
Cre01.g023050.v5.5;29;37;67;77;79;161;105,6666667;44,33333333;53;58;114
Cre01.g023100.v5.5;60;17;28;24;8;17;16,33333333;35;42;12,5;22,5
Cre01.g023150.v5.5;158;32;24;52;30;72;51,33333333;71,33333333;105;31;48
Cre01.g023200.v5.5;226;80;86;29;25;64;39,33333333;130,6666667;127,5;52,5;75
Cre01.g023250.v5.5;38;25;28;18;14;18;16,66666667;30,33333333;28;19,5;23
Cre01.g023300.v5.5;29;3;15;10;14;16;13,33333333;15,66666667;19,5;8,5;15,5
Cre01.g023350.v5.5;333;297;235;194;180;193;189;288,3333333;263,5;238,5;214
Cre01.g023400.v5.5;1993;350;863;642;276;819;579;1068,666667;1317,5;313;841
Cre01.g023450.v5.5;9;3;1;3;2;8;4,333333333;4,333333333;6;2,5;4,5
Cre01.g023500.v5.5;52;10;26;47;32;21;33,33333333;29,33333333;49,5;21;23,5
Cre01.g023550.v5.5;139;44;58;92;49;30;57;80,33333333;115,5;46,5;44
Cre01.g023600.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g023650.v5.5;101;13;9;18;11;18;15,66666667;41;59,5;12;13,5
Cre01.g023750.v5.5;110;9;21;33;15;36;28;46,66666667;71,5;12;28,5
Cre01.g023773.v5.5;31;11;18;10;12;10;10,66666667;20;20,5;11,5;14
Cre01.g023787.v5.5;531;218;465;575;284;575;478;404,6666667;553;251;520
Cre01.g023800.v5.5;202;81;137;115;79;112;102;140;158,5;80;124,5
Cre01.g023850.v5.5;41;31;71;43;42;18;34,33333333;47,66666667;42;36,5;44,5
Cre01.g023900.v5.5;222;326;255;205;205;446;285,3333333;267,6666667;213,5;265,5;350,5
Cre01.g023913.v5.5;195;266;153;180;114;157;150,3333333;204,6666667;187,5;190;155
Cre01.g023950.v5.5;131;60;153;94;75;213;127,3333333;114,6666667;112,5;67,5;183
Cre01.g024000.v5.5;24;8;7;16;5;17;12,66666667;13;20;6,5;12
Cre01.g024050.v5.5;112;79;114;15;7;19;13,66666667;101,6666667;63,5;43;66,5
Cre01.g024100.v5.5;54;30;52;46;17;37;33,33333333;45,33333333;50;23,5;44,5
Cre01.g024150.v5.5;441;232;432;315;192;201;236;368,3333333;378;212;316,5
Cre01.g024200.v5.5;29;7;18;6;13;48;22,33333333;18;17,5;10;33
Cre01.g024250.v5.5;104;19;42;19;14;13;15,33333333;55;61,5;16,5;27,5
Cre01.g024251.v5.5;107;20;39;17;28;29;24,66666667;55,33333333;62;24;34
Cre01.g024300.v5.5;948;176;430;400;152;381;311;518;674;164;405,5
Cre01.g024350.v5.5;1063;503;871;612;479;784;625;812,3333333;837,5;491;827,5
Cre01.g024400.v5.5;163;59;97;74;63;71;69,33333333;106,3333333;118,5;61;84
Cre01.g024500.v5.5;147;126;69;120;88;111;106,3333333;114;133,5;107;90
Cre01.g024550.v5.5;264;47;53;39;44;39;40,66666667;121,3333333;151,5;45,5;46
Cre01.g024601.v5.5;2;0;0;0;0;0;0;0,666666667;1;0;0
Cre01.g024650.v5.5;906;224;226;636;297;463;465,3333333;452;771;260,5;344,5
Cre01.g024750.v5.5;270;92;108;285;134;121;180;156,6666667;277,5;113;114,5
Cre01.g024800.v5.5;134;63;60;293;227;301;273,6666667;85,66666667;213,5;145;180,5
Cre01.g024850.v5.5;152;100;185;248;142;370;253,3333333;145,6666667;200;121;277,5
Cre01.g024900.v5.5;61;16;16;6;20;16;14;31;33,5;18;16
Cre01.g024950.v5.5;312;39;67;38;42;108;62,66666667;139,3333333;175;40,5;87,5
Cre01.g025000.v5.5;153;8;29;12;18;28;19,33333333;63,33333333;82,5;13;28,5
Cre01.g025025.v5.5;146;10;49;17;22;35;24,66666667;68,33333333;81,5;16;42
Cre01.g025050.v5.5;396;328;539;226;135;188;183;421;311;231,5;363,5
Cre01.g025100.v5.5;155;103;147;142;109;171;140,6666667;135;148,5;106;159
Cre01.g025150.v5.5;25;11;32;34;30;46;36,66666667;22,66666667;29,5;20,5;39
Cre01.g025200.v5.5;10;0;0;0;0;1;0,333333333;3,333333333;5;0;0,5
Cre01.g025250.v5.5;199;106;131;90;43;43;58,66666667;145,3333333;144,5;74,5;87
Cre01.g025300.v5.5;28;11;10;11;5;12;9,333333333;16,33333333;19,5;8;11
Cre01.g025350.v5.5;228;32;43;67;24;43;44,66666667;101;147,5;28;43
Cre01.g025400.v5.5;783;311;345;757;326;462;515;479,6666667;770;318,5;403,5
Cre01.g025450.v5.5;479;369;283;377;269;540;395,3333333;377;428;319;411,5
Cre01.g025500.v5.5;14;2;2;3;7;7;5,666666667;6;8,5;4,5;4,5
Cre01.g025551.v5.5;67;28;62;90;35;52;59;52,33333333;78,5;31,5;57
Cre01.g025600.v5.5;380;124;72;136;89;211;145,3333333;192;258;106,5;141,5
Cre01.g025650.v5.5;766;32;106;57;19;77;51;301,3333333;411,5;25,5;91,5
Cre01.g025700.v5.5;357;28;47;125;58;73;85,33333333;144;241;43;60
Cre01.g025726.v5.5;1;0;0;0;0;0;0;0,333333333;0,5;0;0
Cre01.g025750.v5.5;17;3;15;1;4;6;3,666666667;11,66666667;9;3,5;10,5
Cre01.g025767.v5.5;80;3;5;9;8;2;6,333333333;29,33333333;44,5;5,5;3,5
Cre01.g025808.v5.5;28;24;12;13;17;10;13,33333333;21,33333333;20,5;20,5;11
Cre01.g025850.v5.5;248;335;411;272;141;193;202;331,3333333;260;238;302
Cre01.g025900.v5.5;16;4;9;11;1;2;4,666666667;9,666666667;13,5;2,5;5,5
Cre01.g025950.v5.5;7;1;3;1;3;5;3;3,666666667;4;2;4
Cre01.g025983.v5.5;528;28;192;246;148;321;238,3333333;249,3333333;387;88;256,5
Cre01.g026016.v5.5;460;179;312;196;137;200;177,6666667;317;328;158;256
Cre01.g026050.v5.5;232;34;32;26;7;14;15,66666667;99,33333333;129;20,5;23
Cre01.g026100.v5.5;49;15;35;5;3;11;6,333333333;33;27;9;23
Cre01.g026150.v5.5;32;6;14;17;4;20;13,66666667;17,33333333;24,5;5;17
Cre01.g026200.v5.5;17;5;4;7;0;2;3;8,666666667;12;2,5;3
Cre01.g026250.v5.5;69;21;26;27;17;45;29,66666667;38,66666667;48;19;35,5
Cre01.g026300.v5.5;266;31;99;108;45;56;69,66666667;132;187;38;77,5
Cre01.g026350.v5.5;4;0;4;2;3;16;7;2,666666667;3;1,5;10
Cre01.g026400.v5.5;43;24;41;20;12;19;17;36;31,5;18;30
Cre01.g026450.v5.5;257;146;151;129;73;126;109,3333333;184,6666667;193;109,5;138,5
Cre01.g026500.v5.5;213;15;13;100;87;97;94,66666667;80,33333333;156,5;51;55
Cre01.g026550.v5.5;392;293;192;192;116;209;172,3333333;292,3333333;292;204,5;200,5
Cre01.g026600.v5.5;901;413;535;504;302;756;520,6666667;616,3333333;702,5;357,5;645,5
Cre01.g026650.v5.5;20;18;15;31;7;7;15;17,66666667;25,5;12,5;11
Cre01.g026700.v5.5;6;3;8;21;16;21;19,33333333;5,666666667;13,5;9,5;14,5
Cre01.g026750.v5.5;6;6;3;16;16;32;21,33333333;5;11;11;17,5
Cre01.g026800.v5.5;16;7;8;7;10;19;12;10,33333333;11,5;8,5;13,5
Cre01.g026850.v5.5;26;15;14;46;16;19;27;18,33333333;36;15,5;16,5
Cre01.g026900.v5.5;145;95;92;59;79;73;70,33333333;110,6666667;102;87;82,5
Cre01.g026950.v5.5;25;18;32;36;15;59;36,66666667;25;30,5;16,5;45,5
Cre01.g027000.v5.5;30079;22987;33119;32601;22701;26947;27416,33333;28728,33333;31340;22844;30033
Cre01.g027050.v5.5;334;111;187;162;106;208;158,6666667;210,6666667;248;108,5;197,5
Cre01.g027100.v5.5;200;91;117;114;59;105;92,66666667;136;157;75;111
Cre01.g027150.v5.5;189;120;167;122;69;87;92,66666667;158,6666667;155,5;94,5;127
Cre01.g027200.v5.5;930;134;275;225;111;299;211,6666667;446,3333333;577,5;122,5;287
Cre01.g027250.v5.5;30;9;16;24;14;17;18,33333333;18,33333333;27;11,5;16,5
Cre01.g027300.v5.5;77;83;91;124;85;74;94,33333333;83,66666667;100,5;84;82,5
Cre01.g027350.v5.5;92;50;54;87;22;65;58;65,33333333;89,5;36;59,5
Cre01.g027400.v5.5;70;7;7;6;6;5;5,666666667;28;38;6,5;6
Cre01.g027450.v5.5;107;16;19;9;9;5;7,666666667;47,33333333;58;12,5;12
Cre01.g027500.v5.5;12;6;8;3;6;1;3,333333333;8,666666667;7,5;6;4,5
Cre01.g027550.v5.5;63;22;18;18;8;17;14,33333333;34,33333333;40,5;15;17,5
Cre01.g027575.v5.5;10;6;3;1;1;0;0,666666667;6,333333333;5,5;3,5;1,5
Cre01.g027600.v5.5;31;1;3;0;3;0;1;11,66666667;15,5;2;1,5
Cre01.g027650.v5.5;22;0;1;0;1;0;0,333333333;7,666666667;11;0,5;0,5
Cre01.g027700.v5.5;16;24;9;2;7;5;4,666666667;16,33333333;9;15,5;7
Cre01.g027750.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre01.g027764.v5.5;119;20;49;66;31;46;47,66666667;62,66666667;92,5;25,5;47,5
