GeneID;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre01.g003500;6,858286009;6,501889114;6,569871414;6,273331471;6,538431158;6,09660793;6,643348846;6,302790186;6,56580874;6,520160136;6,333239672
Cre01.g003508;4,58435112;4,726534639;4,073799204;4,638784729;4,737516312;4,045239061;4,461561654;4,4738467;4,611567924;4,732025475;4,059519133
Cre01.g003516;8,377619896;8,611002275;8,058386246;8,761716521;8,823576483;8,560272021;8,349002806;8,715188342;8,569668208;8,717289379;8,309329134
Cre01.g003524;8,863572374;9,18434803;8,664871301;9,178073673;9,035215833;9,200172826;8,904263902;9,137820777;9,020823024;9,109781931;8,932522064
Cre01.g003532;5,739595496;5,831021867;5,647288182;6,349542436;6,638461819;6,078827047;5,739301849;6,355610434;6,044568966;6,234741843;5,863057614
Cre01.g003541;-0,26049859;-0,167740174;-0,198624433;-0,190341941;-0,166456021;-0,19771652;-0,208954399;-0,184838161;-0,225420266;-0,167098098;-0,198170477
Cre01.g003550;7,865066178;8,13943182;7,999913746;8,326326243;8,508468971;8,016116314;8,001470581;8,283637176;8,095696211;8,323950395;8,00801503
Cre01.g003600;-1,513872556;-1,50142459;-1,426401598;-1,508187216;-1,501074294;-1,510708868;-1,480566248;-1,506656793;-1,511029886;-1,501249442;-1,468555233
Cre01.g003650;8,650667902;8,440744368;8,534329128;8,641962413;8,577770172;8,50398096;8,541913799;8,574571182;8,646315158;8,50925727;8,519155044
Cre01.g003700;5,694883127;5,127671946;5,256404687;5,520009168;6,043167355;6,116202833;5,359653253;5,893126452;5,607446148;5,58541965;5,68630376
Cre01.g003751;6,00569598;6,132505014;6,070289885;7,051289392;6,715818506;6,553898398;6,06949696;6,773668765;6,528492686;6,42416176;6,312094141
Cre01.g003800;7,19751027;5,481100956;5,454105121;7,025425697;6,039832598;5,805510875;6,044238782;6,29025639;7,111467983;5,760466777;5,629807998
Cre01.g003826;7,109342517;6,680457296;6,97970732;6,92755979;6,958865343;7,057497008;6,923169044;6,98130738;7,018451153;6,819661319;7,018602164
Cre01.g003850;6,368857401;7,596874292;6,450330978;6,318317715;6,803535018;6,080581523;6,805354224;6,400811418;6,343587558;7,200204655;6,26545625
Cre01.g003950;8,57601307;10,02505259;9,797743632;9,488740526;9,562872169;9,288081592;9,466269765;9,446564762;9,032376798;9,79396238;9,542912612
Cre01.g004000;7,239277953;8,081306139;7,382235392;7,559533515;7,514642148;7,289907895;7,567606495;7,454694519;7,399405734;7,797974143;7,336071643
Cre01.g004050;0,909962653;0,929551986;0,986474251;0,998473673;1,032395749;1,657228974;0,941996296;1,229366132;0,954218163;0,980973868;1,321851612
Cre01.g004124;6,804476716;7,500555999;6,953477472;7,459714713;7,550140913;7,427870028;7,086170063;7,479241884;7,132095715;7,525348456;7,19067375
Cre01.g004157;6,589260004;6,366780941;6,879798701;6,020307499;6,442881223;6,045865211;6,611946549;6,169684645;6,304783752;6,404831082;6,462831956
Cre01.g004200;7,163936528;7,41660054;6,783191508;6,666137007;6,896731826;6,965279398;7,121242859;6,842716077;6,915036768;7,156666183;6,874235453
Cre01.g004250;9,064017184;9,383332624;8,717748566;9,140647164;9,078374985;9,244329573;9,055032792;9,154450574;9,102332174;9,230853805;8,98103907
Cre01.g004300;10,14286915;10,17850983;10,2367534;10,35816269;10,07235486;10,70086151;10,18604413;10,37712635;10,25051592;10,12543234;10,46880745
Cre01.g004350;9,350438363;8,312848746;8,599474943;8,281170195;8,203348569;8,718506524;8,754254017;8,401008429;8,815804279;8,258098658;8,658990733
Cre01.g004400;6,315772127;5,964774315;6,126183549;5,68368779;6,359611152;5,504714242;6,135576664;5,849337728;5,999729959;6,162192733;5,815448896
Cre01.g004450;7,613240781;8,472104275;8,026068941;8,065270197;7,786804846;7,957253612;8,037137999;7,936442885;7,839255489;8,12945456;7,991661276
Cre01.g004500;10,46412411;10,84978561;10,81444041;11,04637513;10,87150591;11,07278286;10,70945004;10,99688797;10,75524962;10,86064576;10,94361163
Cre01.g004550;9,237157281;9,614503495;8,500544079;9,415895784;9,298083371;9,134099198;9,117401619;9,282692784;9,326526533;9,456293433;8,817321639
Cre01.g004600;9,710505632;8,146668305;8,454809697;9,00559206;8,555337205;9,147066333;8,770661211;8,902665199;9,358048846;8,351002755;8,800938015
Cre01.g004651;5,239333662;5,640815413;5,249202801;5,340103175;5,617136087;5,512319886;5,376450625;5,489853049;5,289718418;5,62897575;5,380761344
Cre01.g004700;4,808791076;5,381056908;4,747762472;5,112648035;4,710609495;5,030446523;4,979203485;4,951234684;4,960719556;5,045833202;4,889104497
Cre01.g004750;7,057928392;8,803577666;8,649289816;7,470086837;7,498507838;7,513798408;8,170265291;7,494131027;7,264007614;8,151042752;8,081544112
Cre01.g004800;11,12467762;9,971050729;11,16251233;10,93282504;10,49342429;10,45883515;10,75274689;10,62836149;11,02875133;10,23223751;10,81067374
Cre01.g004850;5,554864304;5,337256383;5,921784456;5,987568397;5,919790835;5,700376782;5,604635048;5,869245338;5,77121635;5,628523609;5,811080619
Cre01.g004900;10,57725553;9,553902439;9,980327491;10,34364983;10,06272132;10,29270675;10,03716182;10,23302597;10,46045268;9,808311881;10,13651712
Cre01.g004926;-0,602434895;-0,597662858;-0,60150521;-0,600481756;-0,428854682;-0,481938662;-0,600534321;-0,503758367;-0,601458326;-0,51325877;-0,541721936
